Reviewer,Review,Review Score,Review date
Katrece T,Wasn't what I expected. Really enjoyed it. Including the hope for redemption at the end.,4.5,"Oct 8, 2023"
Chris L,A true feel good movie that I wish I saw in theaters. Anne Hathaway and Robert DeNiro have great chemistry and the movie tells a great story of 2 people generations apart growing closer and learning from each other. There is strong character development and a solid cast all around. I recommend it to anyone.,5.0,"Sep 26, 2023"
John A,All the pieces seem to be there except a truly appropriate third act. 'The intern' has chemistry-rich lead performances and a tenured auteur behind the camera.,2.5,"Sep 20, 2023"
Kevin M,"Brilliant movie! So warm, so satisfying and so moved! Recommend",4.0,"Sep 17, 2023"
Sean S,These two bonified great actors somehow have a great chemistry that truly makes this movie worth watching. It rushes the story along but that doesn't take away from the heartwarming affect it was going for.,3.0,"Sep 12, 2023"
michael p,The movie was very good! I can't believe what other critics are rating and saying about this movie. 2 legendary actors with a good script.,5.0,"Sep 8, 2023"
frederick c,"Good film overall, loved Robert de Niro, who fit the role really well. The story was pretty standard stuff however fun to watch and something to take away.",3.5,"Aug 13, 2023"
Fabrizio V,Very entertaining movie for when you just want to have a good time.,4.0,"Jul 29, 2023"
Shaun D,"I really enjoyed a lot of this. Thought De Niro really nailed his part, he was at the top of his game. Well worth a watch; although I wished a couple of the endings went a different way.",3.5,"Jul 23, 2023"
Brandon H,"A gentle film with low stakes and surface level lessons/values. Beautifully shot and well acted, but the story lacks depth. De Niro and Hathaway's mad acting skills manage to raise an otherwise boring film to very nearly interesting. Odd, that in all of Hathaway's meetings, she never one considered hiring a female CEO? Sadly, the successful entrepreneur will continue burning themself out because they cannot let go and struggle to delegate unless a flawless person who always says the right things magically shows up.",2.0,"Jul 14, 2023"
Alexsander F,"O filme até que é bom, bastante divertido. Mas o final não fez nenhum sentido, filme bem sessão da tarde mesmo.",3.5,"Jun 30, 2023"
Sergio L,"This movie was a good one to just throw on and enjoy, it's usually not my type of movie but I quite enjoyed the duo onscreen and the lessons you learn along the way.",3.5,"Jun 24, 2023"
GiGi H,"If you're looking for a feel-good film, this is it. A fantastic cast and a compelling story. We all know what it is to spread ourselves too thin and feel like an outsider. Learn something about work-life balance and how to fit in by being yourself.",5.0,"Jun 7, 2023"
Ravi T,"I came across this movie because I was looking for a wholesome movie that would make me regain some sort of faith in humanity. For the most part, this movie delivered. I'm not sure I agree with her decision in the end, but that was her decision I guess. Idk, the first half was very wholesome...but it got messy towards the end. But I guess that's life...messy.",4.0,"May 24, 2023"
Fanny M,"This is a terrible movie with an awful message. The only pro I give is the feminism behind showing that women can be on top but it is done in the most disgraceful way. Hathaway's character is out is control, clearly not able to handle a growing company, completely oblivious of tech (like not using email recall), and sinking it even more out of her power trip of not having a boss. A lot of shaming the new generation of men and glorifying the boomers. Extremely capitalist and pro destroying everything around you for your job. WTF with going to bars with employees (which you don't know their name because you are too ""powerful"") instead of going home and spend time with your family. The idea of feminism is to become better collectively and not for women to start acting like the stereotypical men. Also, sexual harrassment is out there like a joke...really? Is it ok because it is done to a guy?",1.0,"May 23, 2023"
Breno G,"Special Effects: 1,0/Sound Effects: 1,0/Acting: 1,0/Story: 2,0",5.0,"May 15, 2023"
meggan w,"Just a classic, pulls at all the good heartstrings, the best duo!",5.0,"May 5, 2023"
Zev C,"It's so well written, the characters are all adorable. It's funny and sad, suspenseful and action packed. What could be better?",5.0,"Apr 16, 2023"
Lorena S,Like it. I bit long but good story,3.0,"Apr 5, 2023"
Shubhangi B,"Why whyyy is this movie not rated above 90%? . It's one it's kind. So fresh, warm, cozy and positive. It somehow teaches way of living. I always go hopeful, happy, and content after watching this movie. A definitely must watch!!!",5.0,"Mar 29, 2023"
Jobin G,"Very beautiful, well written movie! Hats off to the creator ❤️🥳",5.0,"Mar 10, 2023"
